state,state_po,county_str,office,special,candidate,party,writein,candidatevotes,won,MOV16,MOV18,18to16swing
California,CA,sanjoaquin_ca,US Senator,False,Dianne Feinstein,democrat,False,79088.0,False,0.12886520609399998,1.0,0.871134793906
California,CA,sanjoaquin_ca,US Senator,False,Kevin De Leon,democrat,False,92351.0,True,0.12886520609399998,1.0,0.871134793906
California,CA,sanluisobispo_ca,US Senator,False,Dianne Feinstein,democrat,False,53242.0,False,0.08291390728500003,1.0,0.917086092715
California,CA,sanluisobispo_ca,US Senator,False,Kevin De Leon,democrat,False,54027.0,True,0.08291390728500003,1.0,0.917086092715
California,CA,sanmateo_ca,US Senator,False,Dianne Feinstein,democrat,False,168679.0,True,0.576868093454,1.0,0.42313190654599997
California,CA,sanmateo_ca,US Senator,False,Kevin De Leon,democrat,False,99136.0,False,0.576868093454,1.0,0.42313190654599997
California,CA,santabarbara_ca,US Senator,False,Dianne Feinstein,democrat,False,75274.0,True,0.28241913484,1.0,0.71758086516
California,CA,santabarbara_ca,US Senator,False,Kevin De Leon,democrat,False,61217.0,False,0.28241913484,1.0,0.71758086516
California,CA,santaclara_ca,US Senator,False,Dianne Feinstein,democrat,False,339866.0,True,0.524950390504,1.0,0.47504960949599995
California,CA,santaclara_ca,US Senator,False,Kevin De Leon,democrat,False,228642.0,False,0.524950390504,1.0,0.47504960949599995
California,CA,santacruz_ca,US Senator,False,Dianne Feinstein,democrat,False,64178.0,True,0.572879683549,1.0,0.427120316451
California,CA,santacruz_ca,US Senator,False,Kevin De Leon,democrat,False,47416.0,False,0.572879683549,1.0,0.427120316451
California,CA,shasta_ca,US Senator,False,Dianne Feinstein,democrat,False,19397.0,False,-0.37373542464899995,1.0,1.373735424649
California,CA,shasta_ca,US Senator,False,Kevin De Leon,democrat,False,36227.0,True,-0.37373542464899995,1.0,1.373735424649
California,CA,sierra_ca,US Senator,False,Dianne Feinstein,democrat,False,506.0,False,-0.2477827051,1.0,1.2477827051000001
California,CA,sierra_ca,US Senator,False,Kevin De Leon,democrat,False,808.0,True,-0.2477827051,1.0,1.2477827051000001
California,CA,siskiyou_ca,US Senator,False,Dianne Feinstein,democrat,False,5772.0,False,-0.20699737850300004,1.0,1.206997378503
California,CA,siskiyou_ca,US Senator,False,Kevin De Leon,democrat,False,8930.0,True,-0.20699737850300004,1.0,1.206997378503
California,CA,solano_ca,US Senator,False,Dianne Feinstein,democrat,False,70174.0,True,0.304766542574,1.0,0.695233457426
California,CA,solano_ca,US Senator,False,Kevin De Leon,democrat,False,62506.0,False,0.304766542574,1.0,0.695233457426
California,CA,sonoma_ca,US Senator,False,Dianne Feinstein,democrat,False,108472.0,True,0.4791295867359999,1.0,0.5208704132640001
California,CA,sonoma_ca,US Senator,False,Kevin De Leon,democrat,False,85220.0,False,0.4791295867359999,1.0,0.5208704132640001
California,CA,stanislaus_ca,US Senator,False,Dianne Feinstein,democrat,False,58375.0,False,0.006269973933999973,1.0,0.993730026066
California,CA,stanislaus_ca,US Senator,False,Kevin De Leon,democrat,False,77724.0,True,0.006269973933999973,1.0,0.993730026066
California,CA,sutter_ca,US Senator,False,Dianne Feinstein,democrat,False,10501.0,False,-0.162640901771,1.0,1.162640901771
California,CA,sutter_ca,US Senator,False,Kevin De Leon,democrat,False,14166.0,True,-0.162640901771,1.0,1.162640901771
California,CA,tehama_ca,US Senator,False,Dianne Feinstein,democrat,False,5435.0,False,-0.36765027322399996,1.0,1.367650273224
California,CA,tehama_ca,US Senator,False,Kevin De Leon,democrat,False,11253.0,True,-0.36765027322399996,1.0,1.367650273224
California,CA,trinity_ca,US Senator,False,Dianne Feinstein,democrat,False,1746.0,False,-0.11301950805799998,1.0,1.113019508058
California,CA,trinity_ca,US Senator,False,Kevin De Leon,democrat,False,2838.0,True,-0.11301950805799998,1.0,1.113019508058
California,CA,tulare_ca,US Senator,False,Dianne Feinstein,democrat,False,33005.0,False,-0.12042803819300002,1.0,1.120428038193
California,CA,tulare_ca,US Senator,False,Kevin De Leon,democrat,False,49765.0,True,-0.12042803819300002,1.0,1.120428038193
California,CA,tuolumne_ca,US Senator,False,Dianne Feinstein,democrat,False,7783.0,False,-0.209014996592,1.0,1.209014996592
California,CA,tuolumne_ca,US Senator,False,Kevin De Leon,democrat,False,11271.0,True,-0.209014996592,1.0,1.209014996592
California,CA,ventura_ca,US Senator,False,Dianne Feinstein,democrat,False,137141.0,True,0.16800322202399998,1.0,0.831996777976
California,CA,ventura_ca,US Senator,False,Kevin De Leon,democrat,False,130101.0,False,0.16800322202399998,1.0,0.831996777976
California,CA,yolo_ca,US Senator,False,Dianne Feinstein,democrat,False,35071.0,True,0.420401793652,1.0,0.5795982063480001
California,CA,yolo_ca,US Senator,False,Kevin De Leon,democrat,False,32551.0,False,0.420401793652,1.0,0.5795982063480001
California,CA,yuba_ca,US Senator,False,Dianne Feinstein,democrat,False,6224.0,False,-0.24119099629599994,1.0,1.241190996296
California,CA,yuba_ca,US Senator,False,Kevin De Leon,democrat,False,9666.0,True,-0.24119099629599994,1.0,1.241190996296
Connecticut,CT,fairfield_ct,US Senator,False,Christopher S Murphy,democrat,False,210899.0,True,0.20294970008199997,0.2260706524055056,0.02312095232350564
Connecticut,CT,fairfield_ct,US Senator,False,Christopher S Murphy,working families,False,6702.0,False,0.20294970008199997,0.2260706524055056,0.02312095232350564
Connecticut,CT,fairfield_ct,US Senator,False,Jeff Russell,green,False,1215.0,False,0.20294970008199997,0.2260706524055056,0.02312095232350564
Connecticut,CT,fairfield_ct,US Senator,False,Matthew Corey,republican,False,131321.0,False,0.20294970008199997,0.2260706524055056,0.02312095232350564
Connecticut,CT,fairfield_ct,US Senator,False,Richard Lion,libertarian,False,1853.0,False,0.20294970008199997,0.2260706524055056,0.02312095232350564
Connecticut,CT,fairfield_ct,US Senator,False,,,True,15.0,False,0.20294970008199997,0.2260706524055056,0.02312095232350564
Connecticut,CT,hartford_ct,US Senator,False,Christopher S Murphy,democrat,False,203591.0,True,0.21511250717000002,0.23389543104915123,0.018782923879151203
Connecticut,CT,hartford_ct,US Senator,False,Christopher S Murphy,working families,False,9566.0,False,0.21511250717000002,0.23389543104915123,0.018782923879151203
Connecticut,CT,hartford_ct,US Senator,False,Jeff Russell,green,False,1679.0,False,0.21511250717000002,0.23389543104915123,0.018782923879151203
Connecticut,CT,hartford_ct,US Senator,False,Matthew Corey,republican,False,123864.0,False,0.21511250717000002,0.23389543104915123,0.018782923879151203
Connecticut,CT,hartford_ct,US Senator,False,Richard Lion,libertarian,False,2138.0,False,0.21511250717000002,0.23389543104915123,0.018782923879151203
Connecticut,CT,hartford_ct,US Senator,False,,,True,28.0,False,0.21511250717000002,0.23389543104915123,0.018782923879151203
Connecticut,CT,litchfield_ct,US Senator,False,Christopher S Murphy,democrat,False,37269.0,False,-0.138965864072,-0.07535530405485563,0.06361056001714438
Connecticut,CT,litchfield_ct,US Senator,False,Christopher S Murphy,working families,False,2324.0,False,-0.138965864072,-0.07535530405485563,0.06361056001714438
Connecticut,CT,litchfield_ct,US Senator,False,Jeff Russell,green,False,461.0,False,-0.138965864072,-0.07535530405485563,0.06361056001714438
Connecticut,CT,litchfield_ct,US Senator,False,Matthew Corey,republican,False,43621.0,True,-0.138965864072,-0.07535530405485563,0.06361056001714438
Connecticut,CT,litchfield_ct,US Senator,False,Richard Lion,libertarian,False,619.0,False,-0.138965864072,-0.07535530405485563,0.06361056001714438
Connecticut,CT,litchfield_ct,US Senator,False,,,True,0.0,False,-0.138965864072,-0.07535530405485563,0.06361056001714438
Connecticut,CT,middlesex_ct,US Senator,False,Christopher S Murphy,democrat,False,42383.0,True,0.07306395782899994,0.12135965525569803,0.04829569742669809
Connecticut,CT,middlesex_ct,US Senator,False,Christopher S Murphy,working families,False,2503.0,False,0.07306395782899994,0.12135965525569803,0.04829569742669809
Connecticut,CT,middlesex_ct,US Senator,False,Jeff Russell,green,False,415.0,False,0.07306395782899994,0.12135965525569803,0.04829569742669809
Connecticut,CT,middlesex_ct,US Senator,False,Matthew Corey,republican,False,32836.0,False,0.07306395782899994,0.12135965525569803,0.04829569742669809
Connecticut,CT,middlesex_ct,US Senator,False,Richard Lion,libertarian,False,526.0,False,0.07306395782899994,0.12135965525569803,0.04829569742669809
Connecticut,CT,middlesex_ct,US Senator,False,,,True,4.0,False,0.07306395782899994,0.12135965525569803,0.04829569742669809
Connecticut,CT,newhaven_ct,US Senator,False,Christopher S Murphy,democrat,False,179714.0,True,0.12031635316,0.16853580012928093,0.04821944696928093
Connecticut,CT,newhaven_ct,US Senator,False,Christopher S Murphy,working families,False,9742.0,False,0.12031635316,0.16853580012928093,0.04821944696928093
Connecticut,CT,newhaven_ct,US Senator,False,Jeff Russell,green,False,1449.0,False,0.12031635316,0.16853580012928093,0.04821944696928093
Connecticut,CT,newhaven_ct,US Senator,False,Matthew Corey,republican,False,126004.0,False,0.12031635316,0.16853580012928093,0.04821944696928093
Connecticut,CT,newhaven_ct,US Senator,False,Richard Lion,libertarian,False,1758.0,False,0.12031635316,0.16853580012928093,0.04821944696928093
Connecticut,CT,newhaven_ct,US Senator,False,,,True,19.0,False,0.12031635316,0.16853580012928093,0.04821944696928093
Connecticut,CT,newlondon_ct,US Senator,False,Christopher S Murphy,democrat,False,58607.0,True,0.06727055176800006,0.16809337036082722,0.10082281859282716
Connecticut,CT,newlondon_ct,US Senator,False,Christopher S Murphy,working families,False,3508.0,False,0.06727055176800006,0.16809337036082722,0.10082281859282716
Connecticut,CT,newlondon_ct,US Senator,False,Jeff Russell,green,False,706.0,False,0.06727055176800006,0.16809337036082722,0.10082281859282716
Connecticut,CT,newlondon_ct,US Senator,False,Matthew Corey,republican,False,40993.0,False,0.06727055176800006,0.16809337036082722,0.10082281859282716
Connecticut,CT,newlondon_ct,US Senator,False,Richard Lion,libertarian,False,964.0,False,0.06727055176800006,0.16809337036082722,0.10082281859282716
Connecticut,CT,newlondon_ct,US Senator,False,,,True,9.0,False,0.06727055176800006,0.16809337036082722,0.10082281859282716
