year,state,state_po,county,office,district,stage,special,candidate,party,writein,candidatevotes
2018,California,CA,Shasta,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,36227.0
2018,California,CA,Sierra,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,506.0
2018,California,CA,Sierra,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,808.0
2018,California,CA,Siskiyou,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,5772.0
2018,California,CA,Siskiyou,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,8930.0
2018,California,CA,Solano,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,70174.0
2018,California,CA,Solano,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,62506.0
2018,California,CA,Sonoma,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,108472.0
2018,California,CA,Sonoma,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,85220.0
2018,California,CA,Stanislaus,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,58375.0
2018,California,CA,Stanislaus,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,77724.0
2018,California,CA,State Totals,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,6019422.0
2018,California,CA,State Totals,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,5093942.0
2018,California,CA,Sutter,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,10501.0
2018,California,CA,Sutter,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,14166.0
2018,California,CA,Tehama,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,5435.0
2018,California,CA,Tehama,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,11253.0
2018,California,CA,Trinity,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,1746.0
2018,California,CA,Trinity,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,2838.0
2018,California,CA,Tulare,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,33005.0
2018,California,CA,Tulare,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,49765.0
2018,California,CA,Tuolumne,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,7783.0
2018,California,CA,Tuolumne,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,11271.0
2018,California,CA,Ventura,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,137141.0
2018,California,CA,Ventura,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,130101.0
2018,California,CA,Yolo,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,35071.0
2018,California,CA,Yolo,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,32551.0
2018,California,CA,Yuba,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,6224.0
2018,California,CA,Yuba,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,9666.0
2018,Connecticut,CT,Fairfield,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,210899.0
2018,Connecticut,CT,Fairfield,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,6702.0
2018,Connecticut,CT,Fairfield,US Senator,statewide,gen,False,Jeff Russell,green,False,1215.0
2018,Connecticut,CT,Fairfield,US Senator,statewide,gen,False,Matthew Corey,republican,False,131321.0
2018,Connecticut,CT,Fairfield,US Senator,statewide,gen,False,Richard Lion,libertarian,False,1853.0
2018,Connecticut,CT,Fairfield,US Senator,statewide,gen,False,,,True,15.0
2018,Connecticut,CT,Hartford,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,203591.0
2018,Connecticut,CT,Hartford,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,9566.0
2018,Connecticut,CT,Hartford,US Senator,statewide,gen,False,Jeff Russell,green,False,1679.0
2018,Connecticut,CT,Hartford,US Senator,statewide,gen,False,Matthew Corey,republican,False,123864.0
2018,Connecticut,CT,Hartford,US Senator,statewide,gen,False,Richard Lion,libertarian,False,2138.0
2018,Connecticut,CT,Hartford,US Senator,statewide,gen,False,,,True,28.0
2018,Connecticut,CT,Litchfield,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,37269.0
2018,Connecticut,CT,Litchfield,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,2324.0
2018,Connecticut,CT,Litchfield,US Senator,statewide,gen,False,Jeff Russell,green,False,461.0
2018,Connecticut,CT,Litchfield,US Senator,statewide,gen,False,Matthew Corey,republican,False,43621.0
2018,Connecticut,CT,Litchfield,US Senator,statewide,gen,False,Richard Lion,libertarian,False,619.0
2018,Connecticut,CT,Litchfield,US Senator,statewide,gen,False,,,True,0.0
2018,Connecticut,CT,Middlesex,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,42383.0
2018,Connecticut,CT,Middlesex,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,2503.0
2018,Connecticut,CT,Middlesex,US Senator,statewide,gen,False,Jeff Russell,green,False,415.0
2018,Connecticut,CT,Middlesex,US Senator,statewide,gen,False,Matthew Corey,republican,False,32836.0
2018,Connecticut,CT,Middlesex,US Senator,statewide,gen,False,Richard Lion,libertarian,False,526.0
2018,Connecticut,CT,Middlesex,US Senator,statewide,gen,False,,,True,4.0
2018,Connecticut,CT,New Haven,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,179714.0
2018,Connecticut,CT,New Haven,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,9742.0
2018,Connecticut,CT,New Haven,US Senator,statewide,gen,False,Jeff Russell,green,False,1449.0
2018,Connecticut,CT,New Haven,US Senator,statewide,gen,False,Matthew Corey,republican,False,126004.0
2018,Connecticut,CT,New Haven,US Senator,statewide,gen,False,Richard Lion,libertarian,False,1758.0
2018,Connecticut,CT,New Haven,US Senator,statewide,gen,False,,,True,19.0
2018,Connecticut,CT,New London,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,58607.0
2018,Connecticut,CT,New London,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,3508.0
2018,Connecticut,CT,New London,US Senator,statewide,gen,False,Jeff Russell,green,False,706.0
2018,Connecticut,CT,New London,US Senator,statewide,gen,False,Matthew Corey,republican,False,40993.0
2018,Connecticut,CT,New London,US Senator,statewide,gen,False,Richard Lion,libertarian,False,964.0
2018,Connecticut,CT,New London,US Senator,statewide,gen,False,,,True,9.0
2018,Connecticut,CT,Tolland,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,34732.0
2018,Connecticut,CT,Tolland,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,1981.0
2018,Connecticut,CT,Tolland,US Senator,statewide,gen,False,Jeff Russell,green,False,397.0
2018,Connecticut,CT,Tolland,US Senator,statewide,gen,False,Matthew Corey,republican,False,28046.0
2018,Connecticut,CT,Tolland,US Senator,statewide,gen,False,Richard Lion,libertarian,False,567.0
2018,Connecticut,CT,Tolland,US Senator,statewide,gen,False,,,True,6.0
2018,Connecticut,CT,Windham,US Senator,statewide,gen,False,Christopher S Murphy,democrat,False,20490.0
2018,Connecticut,CT,Windham,US Senator,statewide,gen,False,Christopher S Murphy,working families,False,1568.0
2018,Connecticut,CT,Windham,US Senator,statewide,gen,False,Jeff Russell,green,False,296.0
2018,Connecticut,CT,Windham,US Senator,statewide,gen,False,Matthew Corey,republican,False,19032.0
